id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,df
5ba33cbf5d94e933f4809ae8,3.276,1.635,3.228,1.431,2.677,2.397,1.915,4.647,1.57,3.194,6.051,v21
5c4aad674298491b81360f56,8.759,4.329,2.531,4.464,3.424,3.619,2.614,2.612,1.805,1.573,1.143,v21
5d516251eb03dec094aa3eb9,2.576,1.164,2.992,.983,.845,.841,.529,.635,.569,.595,.91,v21
5e782ef649aeceb719dfe983,7.911,3.51,2.612,2.866,17.086,3.341,2.88,3.585,5.527,3.311,3.303,v21
5ea1cf2d3c8500f23763346a,9.313000000000001,3.437,2.565,1.501,1.896,1.337,1.211,.978,1.075,.976,4.252,v21
600459f5a9a957a1c1bd865d,9.622999999999999,9.192,3.943,3.57,3.279,2.692,3.681,4.457,3.1,1.96,1.71,v21
6184b5b9b140dfe2c44daed1,8.436999999999999,6.801,2.797,2.601,1.832,2.151,1.69,1.357,1.6,1.895,5.501,v21
6219967cb3e78bbc4944b4da,6.64,3.898,4.399,2.162,2.936,1.855,1.599,1.353,.97,1.385,1.05,v21
62aa44fdaccc9b3cf943265d,79.80800000000001,14.813,12.274,12.311,11.885,13.082,13.28,11.066,13.813,10.225,15.647,v21
640418162967a550bf6f10d1,10.634,3.137,11.023,7.178,1.706,1.409,1.244,1.205,11.476,1.326,.931,v21
654c911f56a81fb47f20a6ea,5.709,5.151,1.69,1.907,1.966,1.324,3.554,1.564,1.306,1.675,2.564,v21
65acbee1e9e61f58f7b77065,20.051,48.511,20.855,31.735,6.201,5.364,4.195,8.686,7.368,9.188000000000001,5.162,v21
65f574116415b3f3326fc89a,7.031,4.801,2.138,2.209,1.384,2.088,1.79,1.422,1.059,1.288,.894,v21
688960843dbc28b8c9ccfaa0,10.747,3.152,2.504,3.011,2.287,2.851,2.263,5.001,2.157,2.778,2.904,v21
6b672990ab82ee8ee2887cd0,13.514,10.571,8,3.752,2.425,11.593,6.672,4.808,2.92,1.791,3.444,v21
6bbc923a623ec57f11300152,1.702,17.341,7.352,1.21,4.47,1.144,1.301,.704,.575,.97,.832,v21
6ca2d0568a238f3a28507abc,4.854,2.853,.79,1.241,1.18,1.061,.92,1.045,1.162,1.038,.617,v21
6e132293174fd97a92b10dcc,6.204,2.661,1.916,1.136,.733,.976,.666,.785,.6,1.068,1.921,v21
6eeeb2472cf38e04821ffd41,8.907999999999999,3.077,2.29,1.341,.6850000000000001,2.012,1.383,.823,.758,.5,1.127,v21
6f17baea5a5b76f00ae51142,10.285,3.619,2.82,4.812,2.146,2.301,2.238,2.487,1.695,1.651,1.764,v21
6f76c7d0ef4aa6864f6801db,74.94199999999999,11.99,4.472,41.285,10.588,2.815,2.923,1.896,1.986,7.823,17.931,v21
7269dbb5ef8c2e835889d7fe,12.802,7.707,2.658,2.838,1.883,.914,1.794,.759,1.021,.678,.801,v21
